uri,is_viral,repost_5m,repost_15m,repost_30m,repost_60m,repost_15_to_30m,repost_acceleration,repost_velocity_ratio,repost_burst_ratio,repost_growth_30_to_60m,like_5m,like_15m,like_30m,like_60m,like_15_to_30m,like_acceleration,like_velocity_ratio,like_burst_ratio,like_growth_30_to_60m,reply_5m,reply_15m,reply_30m,reply_60m,reply_15_to_30m,reply_acceleration,reply_velocity_ratio,reply_burst_ratio,reply_growth_30_to_60m,quote_5m,quote_15m,quote_30m,quote_60m,quote_15_to_30m,quote_acceleration,quote_velocity_ratio,quote_burst_ratio,quote_growth_30_to_60m,ttf_repost_sec,ttf_like_sec,ttf_reply_sec,ttf_quote_sec,text_len,has_embed,author_followers,author_followers_log,author_is_whale,total_engagement_30m,like_repost_ratio_30m,reply_repost_ratio_30m,quote_repost_ratio_30m
at://did:plc:2cd3wnxeii6gaacd3yb2smzo/app.bsky.feed.post/3mjdkyu5ris2v,1,5,15,29,29,14,-1,0.875,0.16666666666666666,0.9666666666666667,19,46,104,104,58,12,1.2340425531914894,0.18095238095238095,0.9904761904761905,2,2,3,3,1,-1,0.3333333333333333,0.5,0.75,0,0,0,0,0,0,0.0,0.0,0.0,42.904885,24.826756,59.130093,9999.0,15,1,0,0.0,0,136,3.466666666666667,0.1,0.0
at://did:plc:2coopwlbg6srvyf5o7nzqfsa/app.bsky.feed.post/3mjdrsdlilc2g,1,10,29,41,41,12,-17,0.4,0.23809523809523808,0.9761904761904762,29,94,141,141,47,-47,0.49473684210526314,0.20422535211267606,0.9929577464788732,1,2,2,2,0,-2,0.0,0.3333333333333333,0.6666666666666666,0,0,0,0,0,0,0.0,0.0,0.0,13.203787,8.522864,45.038724,9999.0,5,1,0,0.0,0,184,3.357142857142857,0.047619047619047616,0.0
at://did:plc:2d4i6jgzxpxuwsttkark575m/app.bsky.feed.post/3mjc5amkonc2w,1,7,17,34,34,17,0,0.9444444444444444,0.2,0.9714285714285714,33,76,121,121,45,-31,0.5844155844155844,0.27049180327868855,0.9918032786885246,4,19,29,29,10,-9,0.5,0.13333333333333333,0.9666666666666667,0,1,1,1,0,-1,0.0,0.0,0.5,27.507352,17.10576,76.808705,530.920384,40,1,0,0.0,0,185,3.4571428571428573,0.8285714285714286,0.02857142857142857
at://did:plc:2d5bddefojjc4klpxz7ao2l3/app.bsky.feed.post/3mjd4cickrk2h,1,1,3,14,14,11,8,2.75,0.06666666666666667,0.9333333333333333,7,13,43,43,30,17,2.142857142857143,0.1590909090909091,0.9772727272727273,0,0,1,1,1,1,1.0,0.0,0.5,0,0,1,1,1,1,1.0,0.0,0.5,250.807841,40.165243,1542.003633,1559.871466,42,1,0,0.0,0,59,2.8666666666666667,0.06666666666666667,0.06666666666666667
at://did:plc:2d5tigfjv3z4zxadq7z3vcoe/app.bsky.feed.post/3mjcrjycxcc2d,1,19,37,50,50,13,-24,0.34210526315789475,0.37254901960784315,0.9803921568627451,80,185,276,276,91,-94,0.489247311827957,0.2888086642599278,0.9963898916967509,1,4,6,6,2,-2,0.4,0.14285714285714285,0.8571428571428571,0,0,0,0,0,0,0.0,0.0,0.0,29.907455,16.572572,146.141549,9999.0,0,1,0,0.0,0,332,5.411764705882353,0.11764705882352941,0.0
at://did:plc:2ecumfvt54kiepru4leansvz/app.bsky.feed.post/3mjckqa3ils2m,1,25,61,96,96,35,-26,0.5645161290322581,0.25773195876288657,0.9896907216494846,115,291,464,464,173,-118,0.5924657534246576,0.24731182795698925,0.9978494623655914,2,5,5,5,0,-5,0.0,0.3333333333333333,0.8333333333333334,0,0,0,0,0,0,0.0,0.0,0.0,12.519244,8.623506,203.937167,9999.0,29,1,0,0.0,0,565,4.783505154639175,0.05154639175257732,0.0
at://did:plc:2ex24r3626ifrwqu7vt3ngih/app.bsky.feed.post/3mjdpgk2ra22q,1,6,16,33,33,17,1,1.0,0.17647058823529413,0.9705882352941176,6,16,35,35,19,3,1.1176470588235294,0.16666666666666666,0.9722222222222222,0,0,0,0,0,0,0.0,0.0,0.0,0,1,1,1,0,-1,0.0,0.0,0.5,20.221867,69.970732,9999.0,737.761311,112,1,0,0.0,0,69,1.0294117647058822,0.0,0.029411764705882353
at://did:plc:2fsrsv2z3kvwibizd7nyjpk4/app.bsky.feed.post/3mjd5zflhvk2k,1,3,16,21,21,5,-11,0.29411764705882354,0.13636363636363635,0.9545454545454546,8,71,106,106,35,-36,0.4861111111111111,0.07476635514018691,0.9906542056074766,1,2,2,2,0,-2,0.0,0.3333333333333333,0.6666666666666666,0,0,1,1,1,1,1.0,0.0,0.5,98.750034,6.855099,171.746278,1095.802472,138,0,0,0.0,0,130,4.818181818181818,0.09090909090909091,0.045454545454545456
at://did:plc:2fvk7w44vl4vd4s4liyt2ctx/app.bsky.feed.post/3mjcpodztcs2t,1,3,16,30,30,14,-2,0.8235294117647058,0.0967741935483871,0.967741935483871,6,57,117,117,60,3,1.0344827586206897,0.05084745762711865,0.9915254237288136,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,44.700764,33.515661,9999.0,9999.0,8,1,0,0.0,0,147,3.774193548387097,0.0,0.0
at://did:plc:2ge4sk3ieqw4m7ycj2siujfo/app.bsky.feed.post/3mjcmygpxd22n,1,8,21,34,34,13,-8,0.5909090909090909,0.22857142857142856,0.9714285714285714,25,60,90,90,30,-30,0.4918032786885246,0.27472527472527475,0.989010989010989,6,8,8,8,0,-8,0.0,0.6666666666666666,0.8888888888888888,0,0,0,0,0,0,0.0,0.0,0.0,20.640923,19.224924,71.013416,9999.0,0,1,0,0.0,0,132,2.5714285714285716,0.22857142857142856,0.0
at://did:plc:2gvjyduzqzllqqx2ifysz2lu/app.bsky.feed.post/3mjbpt74vzs2v,1,4,5,8,8,3,-2,0.5,0.4444444444444444,0.8888888888888888,6,7,15,15,8,1,1.0,0.375,0.9375,0,1,2,2,1,0,0.5,0.0,0.6666666666666666,0,0,0,0,0,0,0.0,0.0,0.0,79.371765,31.099915,432.585621,9999.0,60,1,0,0.0,0,25,1.6666666666666667,0.2222222222222222,0.0
at://did:plc:2gvjyduzqzllqqx2ifysz2lu/app.bsky.feed.post/3mjcpep54rc2e,1,9,14,20,20,6,-8,0.4,0.42857142857142855,0.9523809523809523,11,23,34,34,11,-12,0.4583333333333333,0.3142857142857143,0.9714285714285714,0,1,2,2,1,0,0.5,0.0,0.6666666666666666,0,0,0,0,0,0,0.0,0.0,0.0,39.444162,37.171733,601.35504,9999.0,68,1,0,0.0,0,56,1.619047619047619,0.09523809523809523,0.0
at://did:plc:2gvjyduzqzllqqx2ifysz2lu/app.bsky.feed.post/3mjcpq2aows2e,1,3,11,32,32,21,10,1.75,0.09090909090909091,0.9696969696969697,8,31,88,88,57,26,1.78125,0.0898876404494382,0.9887640449438202,0,2,5,5,3,1,1.0,0.0,0.8333333333333334,1,1,1,1,0,-1,0.0,0.5,0.5,22.616769,8.31589,528.397473,67.060966,49,1,0,0.0,0,126,2.6666666666666665,0.15151515151515152,0.030303030303030304
